label,category_jp,category_en,title_jp,title_en,author_jp,author_en,conference_jp,conference_en,book_jp,book_en,issue_jp,issue_en,vol,no,page,year,month,day,note_jp,note_en,tag1_jp,tag1_en,tag2_jp,tag2_en,tag3_jp,tag3_en,tag4_jp,tag4_en,tag5_jp,tag5_en,url,key
domestic,国内シンポジウム,Domestic Symposium,日中越における指示語使用と空間認識の違い,"Difference in Indicator Use and Spatial Awareness in Japan, China and Vietnam",王斌宇，市川雅也，竹内勇剛,"Binyu Wang, Masanari Ichikawa and Yugo Takeuchi  ",ヒューマンンコミュニケーション基礎（HCS）研究会2023年3月研究会,Human Communication Society (HCS) Research Meeting in March 2023,電子情報通信学会技術研究報告（信学技報）,IEICE Technical Report,,,Vol. 122,No. 143,pp. 134-139,2023,Mar,3,,,査読なし,Not peer-reviewed  ,口頭発表,Oral presentation,,Available in Japanese only,,,,,https://ken.ieice.org/ken/download/20230303aCTM/,
domestic,国内研究会,Domestic Research Meeting,高齢者介護施設における異文化職員間コミュニケーションの課題 ～ 日中越における指示語の対象に対する認識の比較 ～,"Communication Challenges in Elderly Care Facilities: A Comparison of Perceptions of the Object of Directive Words in Japanese, Chinese, and Vietnamese",王斌宇，市川雅也，項偉青，竹内勇剛,"Binyu Wang, Masanari Ichikawa, Weiqing Xiang, and Yugo Takeuchi  ",HCGシンポジウム2022,HCG Symposium 2022,,,,,,,A-4-2,2022,Dec,15,,,査読なし,Not peer-reviewed  ,ポスター発表,Poster presentation,,Available in Japanese only,,,,,,
domestic,国内研究会,Domestic Research Meeting,グラフ理論に基づく対話構造に立脚した遠隔対話システムデザインの提案,Design Proposal for a Telecommunication System Based on Dialogue Structure Applying Graph Theory,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,ヒューマンンコミュニケーション基礎（HCS）研究会2022年3月研究会,Human Communication Society (HCS) Research Meeting in March 2022,電子情報通信学会技術研究報告（信学技報）,IEICE Technical Report,,,Vol. 121,No. 438,pp. 61-66,2022,Mar,12,,,査読なし,Not peer-reviewed  ,口頭発表,Oral presentation,,Available in Japanese only,2022年度HCS研究会賞受賞,HCS Workshop Award 2022,,,https://ken.ieice.org/ken/user/index.php?cmd=downloadlink&form_code2=202203128Cjq,
domestic,国内シンポジウム,Domestic Symposium,エージェントの援助行動による被援助感を低減するインタラクションデザイン,Interaction Design for Reducing Indebtedness through Agents Assist,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,HAIシンポジウム2021,HAI Symposium 2021,,,,,,,P26,2021,Mar,10,,,査読なし,Not peer-reviewed  ,ポスター発表,Poster presentation,,Available in Japanese only,,,,,https://hai-conference.net/proceedings/HAI2021/pdf/P-26.pdf,
domestic,国内シンポジウム,Domestic Symposium,エージェントとのインタラクションにおいて互恵性を有効に利用するための援助行動のデザイン,Efficacious Interaction Design for Managing Reciprocal Behavior through Agent's Support,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,ヒューマンインタフェースサイバーコロキウム,IPSJ Human Interface Cyber Colloquium,,,,,,,1B2-3,2020,Oct,17,,,査読なし,Not peer-reviewed  ,口頭発表,Oral presentation,,Available in Japanese only,,,,,,
domestic,国内シンポジウム,Domestic Symposium,自他の作業者特性が作業パフォーマンスに及ぼす影響の調査（実習の構想発表）,Investigation of the Influence of Workers' Characteristics on Working Performance (Presentation of the Concept of Practice),市川雅也,Masanari Ichikawa  ,静岡大学情報学シンポジウム2019,Shizuoka University Information Symposium 2019,,,,,,,J01,2019,Dec,24,,,査読なし,Abstract only,ポスター発表,Poster presentation,,Available in Japanese only,,,,,https://shizuoka.repo.nii.ac.jp/records/12467,
domestic,国内シンポジウム,Domestic Symposium,モニタリング社会との共生（実習の進捗発表）,Coexistence with Monitored Society (Presentation of the Progress of Practice),市川雅也，奥村紗名，橋本航汰，廣田拓哉,"Masanari Ichikawa, Sana Okumura, Kota Hashimoto, and Takuya Hirota  ",静岡大学情報学シンポジウム2018,Shizuoka University Information Symposium 2018,,,,,,,P10,2018,Dec,22,,,査読なし,Abstract only,ポスター発表,Poster presentation,,Available in Japanese only,,,,,https://shizuoka.repo.nii.ac.jp/records/11639,
other,その他の発表,Misc. Presentations,多重参与を可視化するオンライン対話環境の開発,Development of an Online Dialogue Environment for Visualizing Multi-Dialogue Participation,市川雅也,Masanari Ichikawa,名古屋大学 企業と博士人材の交流会,Industry–PhD Student Exchange Meeting 2025 @Nagoya Univ.,,,,,,,,2025,Aug,26,,,原稿なし,No paper,ポスター発表,Poster presentation,,,,,,,,
other,その他の発表,Misc. Presentations,ソーシャルメディアにおける情報流通を模倣するマイクロワールド研究,Microworld Study on Information Dissemination in Social Media,森田純哉，大本義正，市川雅也，竹内勇剛,"Junya Morita, Yoshimasa Ohmoto, Masanari Ichikawa, and Yugo Takeuchi  ",2024年度日本認知科学会第41回大会 (JCSS 2024),The 41st Annual Conference of the Japanese Cognitive Science Society (JCSS 2024),,,,,,,OS-3-3-3,2024,Oct,14,,,原稿なし,No paper,口頭発表,Oral presentation,,,,,,,https://www.jcss.gr.jp/meetings/jcss2024/proceedings/OS-3-3.html,
other,その他の発表,Misc. Presentations,対話場への参与を多重化するオンラインコミュニケーション,Online Communication with Multiplexed Participation in Dialogue Spaces,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,ヤマハ技術展,Yamaha Technology Exhibition,,,,,,,,2023,Sep,4,,,原稿なし,No paper,ポスター発表,Poster presentation,,,,,,,,
award,受賞,Award,2022年度HCS研究会賞,2022 HCS Workshop Award,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,電子情報通信学会ヒューマンコミュニケーション基礎（HCS）研究会,IEICE Human Communication Society (HCS),,,,,,,,2023,Jan,21,,,,,,,,,,,,,https://www.ieice.org/hcg/hcs/wp/?page_id=143,
fund,研究奨励金,Scholarship,テレコム先端技術研究支援センター（SCAT）研究奨励金,Scholarship from the Telecom Advanced Technology Research Support Center (SCAT),,,,,,,,,,,,,,,"3,600千円，2024年4月 - 2027年3月","3,600,000 JPY, Apr 2024 - Mar 2027",,,,,,,,,,,https://x.gd/Xo0rs,
thesis,学位論文,Thesis,参与構造理論に立脚したオンライン対話システムにおける多重参与デザイン,Multi-Dialogue Participation Design for Voice Communication System Based on Participation Structure,市川雅也,Masanari Ichikawa  ,,,静岡大学大学院修士論文,"Master's Thesis, Graduate School, Shizuoka University",,,,,,2024,Mar,1,指導教員：竹内勇剛,Supervisor: Yugo Takeuchi,,,,,,,,,,,,
thesis,学位論文,Thesis,グラフ理論に基づくオンラインコミュニケーション量子化の試み,Attempt at Quantization of Online Communication Based on Graph Theory,市川雅也,Masanari Ichikawa,,,静岡大学卒業論文,"Bachelor's Thesis, Shizuoka University",,,,,,2022,Mar,1,指導教員：竹内勇剛,Supervisor: Yugo Takeuchi,,,,,,,,,,,,
